# DECL-GEN = (--emit) 2026-09-23 09:02:37 +0800
# DECL-ANCHORS = KD=eed45d278bff3a37 CS=b7b2d513cfdab2eb HO=e4dc264200b421d0 AB=38e67e834430d75c KRJ=089b7324ba12e022 KRF=ab09235afd949bc2 KRP=3c9e3a309b990d31
# grammar: D-[A-Z][0-9]*[a-z]?(-[A-Za-z0-9]+)*
# fields:  ID<TAB><id><TAB>req=<key,key,...|-><TAB>present=<key,key,...>
# 词法边界（实测）：D-ZZ9 **不合法**（scope 段只许"1 个大写字母 + 数字量词 + 可选 1 个小写"）
#   ⇒ 若真需要多位大写 scope，必须**同时**改 FAMRE 与本节说明（否则声明会被判 decl-unparsable）
#   req=K1,K2  ⇒ 该编号在 K1 与 K2 的 route 文件里**各至少出现一次**（缺一个即 FAIL 点名）
#   req=-      ⇒ **家族名/scaffold**（如 `D-G`、`D-T`），不要求在缺陷册里有条目
#   present=   ⇒ 仅"声明依据"（现场快照的并集），**不作判据**；与 `req` 冲突会被判 FAIL
ID	D-A1	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-A2	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRP
ID	D-A2-r	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-A3	req=KD,HO,AB	present=KD,HO,AB
ID	D-B1	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-E1	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-F1	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-F1b	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-F1b-ABSENT	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-F1c	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-F2	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-F3	req=CS,HO,AB	present=CS,HO,AB
ID	D-G	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G1	req=KD,CS,HO	present=KD,CS,HO
ID	D-G10	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G100	req=KD	present=KD
ID	D-G101	req=KD	present=KD
ID	D-G102	req=KD	present=KD
