# T1b · **行级**记账不一致清单（用例 | 行号 | 期望 | 实得 | 归类桶）
# 被测 shim 源 sha256 = 438D05BE3A6C8175255CF7291B7201D5B469B2B820ECF31285218DBDED02F698
# 测量对象（app-local 副本，应与权威一致）： PC=E75C7BD5F465EDE6 WB=E6216FE961A2BFB9 DWF=2F77DBDF5E7E2CD5 Provider=71BA86C6495347FE
# 条数 = 272（**无上限，未截断**）
A1_lat_words_w180 | 行#1 | 期望 Len=24 nl=0 ws=1 | 实得 Len=20 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w180 | 行#2 | 期望 Len=26 nl=0 ws=1 | 实得 Len=19 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w180 | 行#3 | 期望 Len=10 nl=1 ws=1 | 实得 Len=21 nl=1 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w240 | 行#0 | 期望 Len=31 nl=0 ws=1 | 实得 Len=26 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w240 | 行#1 | 期望 Len=28 nl=0 ws=1 | 实得 Len=26 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w240 | 行#2 | 期望 Len=21 nl=1 ws=1 | 实得 Len=28 nl=1 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w400 | 行#0 | 期望 Len=52 nl=0 ws=1 | 实得 Len=48 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w400 | 行#1 | 期望 Len=28 nl=1 ws=1 | 实得 Len=32 nl=1 ws=1 | 桶=行区间长度(Length)
A1_hard_lf_w20 | 行#6 | 期望 Len=3 nl=0 ws=1 | 实得 Len=2 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_lf_w20 | 行#7 | 期望 Len=3 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_hard_lf_w20 | 行#8 | 期望 Len=2 nl=1 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_lf_w20 | 行#9 | 期望 Len=3 nl=0 ws=0 | 实得 Len=2 nl=1 ws=1 | 桶=行尾空白计数(ws)
A1_hard_lf_w20 | 行#10 | 期望 Len=3 nl=1 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_lf_w30 | 行#0 | 期望 Len=6 nl=0 ws=1 | 实得 Len=5 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_lf_w30 | 行#1 | 期望 Len=5 nl=1 ws=1 | 实得 Len=1 nl=0 ws=1 | 桶=硬断计数(nl)
A1_hard_lf_w30 | 行#2 | 期望 Len=3 nl=0 ws=0 | 实得 Len=5 nl=1 ws=1 | 桶=行尾空白计数(ws)
A1_hard_lf_w30 | 行#3 | 期望 Len=4 nl=0 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_lf_w30 | 行#4 | 期望 Len=5 nl=1 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_lf_w30 | 行#5 | 期望 Len=4 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_hard_lf_w30 | 行#6 | 期望 Len=2 nl=1 ws=1 | 实得 Len=5 nl=1 ws=1 | 桶=行区间长度(Length)
A1_hard_crlf_w20 | 行#6 | 期望 Len=3 nl=0 ws=1 | 实得 Len=2 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_crlf_w20 | 行#7 | 期望 Len=3 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_hard_crlf_w20 | 行#8 | 期望 Len=3 nl=2 ws=2 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_crlf_w20 | 行#9 | 期望 Len=3 nl=0 ws=0 | 实得 Len=3 nl=2 ws=2 | 桶=行尾空白计数(ws)
A1_hard_crlf_w20 | 行#10 | 期望 Len=3 nl=1 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_crlf_w30 | 行#0 | 期望 Len=6 nl=0 ws=1 | 实得 Len=5 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_crlf_w30 | 行#1 | 期望 Len=6 nl=2 ws=2 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_hard_crlf_w30 | 行#2 | 期望 Len=3 nl=0 ws=0 | 实得 Len=6 nl=2 ws=2 | 桶=行尾空白计数(ws)
A1_hard_crlf_w30 | 行#3 | 期望 Len=4 nl=0 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_crlf_w30 | 行#4 | 期望 Len=6 nl=2 ws=2 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_crlf_w30 | 行#5 | 期望 Len=4 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_hard_crlf_w30 | 行#6 | 期望 Len=2 nl=1 ws=1 | 实得 Len=6 nl=2 ws=2 | 桶=行尾空白计数(ws)
A1_hard_ls_w20 | 行#6 | 期望 Len=3 nl=0 ws=1 | 实得 Len=2 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_ls_w20 | 行#7 | 期望 Len=3 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_hard_ls_w20 | 行#8 | 期望 Len=2 nl=1 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_ls_w20 | 行#9 | 期望 Len=3 nl=0 ws=0 | 实得 Len=2 nl=1 ws=1 | 桶=行尾空白计数(ws)
A1_hard_ls_w20 | 行#10 | 期望 Len=3 nl=1 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_ls_w30 | 行#0 | 期望 Len=6 nl=0 ws=1 | 实得 Len=5 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_ls_w30 | 行#1 | 期望 Len=5 nl=1 ws=1 | 实得 Len=1 nl=0 ws=1 | 桶=硬断计数(nl)
A1_hard_ls_w30 | 行#2 | 期望 Len=3 nl=0 ws=0 | 实得 Len=5 nl=1 ws=1 | 桶=行尾空白计数(ws)
A1_hard_ls_w30 | 行#3 | 期望 Len=4 nl=0 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_ls_w30 | 行#4 | 期望 Len=5 nl=1 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_hard_ls_w30 | 行#5 | 期望 Len=4 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_hard_ls_w30 | 行#6 | 期望 Len=2 nl=1 ws=1 | 实得 Len=5 nl=1 ws=1 | 桶=行区间长度(Length)
A1_long_word_w20 | 行#22 | 期望 Len=3 nl=0 ws=1 | 实得 Len=2 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_long_word_w20 | 行#23 | 期望 Len=3 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_long_word_w20 | 行#24 | 期望 Len=2 nl=1 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_long_word_w40 | 行#0 | 期望 Len=6 nl=0 ws=1 | 实得 Len=5 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_long_word_w40 | 行#1 | 期望 Len=4 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_long_word_w40 | 行#2 | 期望 Len=6 nl=0 ws=0 | 实得 Len=4 nl=0 ws=0 | 桶=行区间长度(Length)
A1_long_word_w40 | 行#4 | 期望 Len=5 nl=0 ws=0 | 实得 Len=6 nl=0 ws=0 | 桶=行区间长度(Length)
A1_long_word_w40 | 行#5 | 期望 Len=6 nl=0 ws=0 | 实得 Len=5 nl=0 ws=0 | 桶=行区间长度(Length)
A1_long_word_w40 | 行#6 | 期望 Len=4 nl=0 ws=0 | 实得 Len=6 nl=0 ws=0 | 桶=行区间长度(Length)
A1_long_word_w40 | 行#10 | 期望 Len=7 nl=1 ws=1 | 实得 Len=4 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_spaces_w20 | 行#6 | 期望 Len=4 nl=0 ws=3 | 实得 Len=3 nl=0 ws=2 | 桶=行尾空白计数(ws)
A1_spaces_w20 | 行#7 | 期望 Len=2 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_spaces_w20 | 行#9 | 期望 Len=5 nl=0 ws=4 | 实得 Len=2 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_spaces_w20 | 行#10 | 期望 Len=2 nl=0 ws=0 | 实得 Len=4 nl=0 ws=3 | 桶=行尾空白计数(ws)
A1_spaces_w20 | 行#11 | 期望 Len=2 nl=0 ws=1 | 实得 Len=1 nl=0 ws=1 | 桶=行区间长度(Length)
A1_spaces_w20 | 行#13 | 期望 Len=3 nl=0 ws=0 | 实得 Len=2 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_spaces_w20 | 行#15 | 期望 Len=6 nl=1 ws=5 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_spaces_w30 | 行#4 | 期望 Len=6 nl=0 ws=3 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_spaces_w30 | 行#5 | 期望 Len=3 nl=0 ws=0 | 实得 Len=3 nl=0 ws=3 | 桶=行尾空白计数(ws)
A1_spaces_w30 | 行#6 | 期望 Len=6 nl=0 ws=4 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_spaces_w30 | 行#7 | 期望 Len=4 nl=0 ws=1 | 实得 Len=5 nl=0 ws=3 | 桶=行尾空白计数(ws)
A1_spaces_w30 | 行#8 | 期望 Len=5 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_spaces_w30 | 行#9 | 期望 Len=8 nl=1 ws=5 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_spaces_w40 | 行#3 | 期望 Len=6 nl=0 ws=3 | 实得 Len=5 nl=0 ws=2 | 桶=行尾空白计数(ws)
